index,Texto,Texto limpio,Categoría
5687,"Aquel martes en la piscina la fiesta se nos fue de las manos. Sigo sin recordar cómo acabó dentro un elefante.
#martesmge",aquel martes piscina fiesta manos sigo recordar cómo acabó dentro elefante martesmge,Microficción
3405,"#AristeguiEnVivo | La información del archivo que compartió la FGR no puede estar bloqueada. El Art. 6o de la Constitución garantiza el principio de máxima publicidad, por lo cual el #INAI es importantísimo: @JRCossio 👉 https://t.co/FfWSY0Slkt https://t.co/oxluT3vjb7",cosas siempre pasan,Noticia
5350,"Sentado en aquel banco, la observó durante años. Cómo entraba y salía de la librería en la que trabajaba, cómo reía y bromeaba con sus compañeros o cómo se estiraba para llegar al estante más alto, atesorando minutos que para él valían por toda una vida.",sentado aquel banco observó años cómo entraba salía librería trabajaba cómo reía bromeaba compañeros cómo estiraba llegar estante alto atesorando minutos valían toda vida,Microficción
504,No desahogarte al final te acaba ahogando.,felizmiércoles fin trump comienza biden retraso vacunas caso cienfuegos sigue programa completo aristeguienvivo,Frase/Pensamiento
6977,"-Se trata de un error. Revisé de nuevo.
-No señora, su marido sobrevivirá.
-Pero me dijeron que era un veneno infalible.",trata error revisé nuevo señora marido sobrevivirá dijeron veneno infalible,Microficción
6130,Arrancaban el corazón a los desenamorados. Los españoles malinterpretaron todo. #cuentosde10,arrancaban corazón desenamorados españoles malinterpretaron cuentosde10,Microficción
4396,"#AristeguiEnVivo | En otro de sus mensajes, el presidente Trump aseguró que de no haber sido por su ayuda, la vacuna contra la Covid hubiera tardado una década. Detalles con @JJesusEsquivel, periodista en Washington https://t.co/SQw3pCXqLr https://t.co/zxSFqkgaCn",decepciones hacen abrir ojos cerrar corazón,Noticia
2002,"“Contigo o sin ti, la vida sigue.”",reencuentran pelado maestro tras año verse post,Frase/Pensamiento
5372,"El sonido burbujeante que hacen tus zapatos al caminar te delata.
-¿Tanto llueve?- te digo desde la sala asomándome para verte llegar empapada. 
-En realidad hace horas que dejó de llover. Tomas mi mano y salimos juntos a saltar en los charcos, a perderme en tu risa.",sonido burbujeante hacen zapatos caminar delata llueve digo sala asomándome verte llegar empapada realidad hace horas dejó llover tomas mano salimos juntos saltar charcos perderme risa,Microficción
4743,"Messi es castigado con dos partidos; Barcelona impugna la sanción
https://t.co/VFZoUQ6NL0 https://t.co/kQ4wfbYKOp",dejas atrás temores sentirás libre,Noticia
3612,Exige Colosio Riojas explicaciones a candidato priista por ataques políticos https://t.co/ytsja54JWw https://t.co/B6pvEdfMi3,pidas puedes dar tampoco recibas sabes mereces,Noticia
1764,"""Queda prohibido levantarse sin ilusiones, vestirse sin esperanzas, salir a la calle sin fe y andar sin amor.""",repuntan contagios coronavirus italia mil nuevos casos día,Frase/Pensamiento
6,Sanar. Aprender. Crecer. Seguir,captan lópezgatell vacaciones playas oaxaca plena pandemia,Frase/Pensamiento
6627,"Arrancó su corazón con tres afiladas palabras: ""Lo nuestro terminó"".",arrancó corazón tres afiladas palabras terminó,Microficción
622,"""Nunca subestimes a una persona callada. Las cosas importantes se planean en silencio.""",matan mujer secuestrada cuernavaca pese familia pagó rescate,Frase/Pensamiento
130,"Hoy te extrañé, me hiciste falta. No quiero decírtelo pero aquí te lo escribo por si el destino quiere que lo leas.",renuncia bogart montiel dirección administración ine acusado irregularidades,Frase/Pensamiento
3949,"Sigue inflación dentro del rango, sube 3.15% en diciembre
https://t.co/HA3Iiv10Oc https://t.co/kcc5b8N1Lo",music on world off,Noticia
99,"Mi madre es la persona que más sonrisas mías se merece, y al final es la que peores caras siempre se lleva.",empresas energías limpias solo interesa lucro amlo,Frase/Pensamiento
1119,"""A grandes males, grandes cambios.""",irán exhorta biden levantar sanciones obstaculizan lucha covid19,Frase/Pensamiento
1261,"""A veces el silencio es nuestro grito más fuerte.""",israel comienza vacunar covid nacidos,Frase/Pensamiento
3291,Llaman a enseñar a los niños a gestionar sus emociones para evitar depresión tras muertes por Covid https://t.co/hmtBbfi9AC https://t.co/NVdKsMWPEk,avergüences cicatriz simplemente quiere decir fuerte trató hacerte daño,Noticia
1839,"Quiero gritar fuerte que te amo, hasta que se me rompa el corazón.",visita enlace ver primera parte entrevista entender caso cienfuegos resolución fgr,Frase/Pensamiento
3760,Los boletos para el Super Bowl LV costarán entre 9 mil 540 y 24 mil 750 dólares https://t.co/m7vOZ7QMlf https://t.co/CC5DvqO2zj,gente buena sufre vuelve mala,Noticia
3426,Será sano conocer todo el expediente Cienfuegos para descartar impunidad: Gutiérrez Priego https://t.co/Vo4WWuj16M https://t.co/4ta37g6kMu,silencios dicen palabras,Noticia
6849,"La vida da muchas vueltas. Pasaste de mirarme con displicencia e ignorar mis llamadas a implorar que te hable para poder tomar un simple café.
#Mismofinal",vida da muchas vueltas pasaste mirarme displicencia ignorar llamadas implorar hable poder tomar simple café mismofinal,Microficción
1971,Todos necesitamos a alguien quien pueda oír nuestro silencio.,situaciones límite mostramos realmente fernanda trías,Frase/Pensamiento
1197,"""Las palabras solo hieren, cuando te importa quien las dice.""",aristeguienvivo amor vida devuelvan cilindros intenten comercializarlos guardarlos casa oxígeno necesita hace falta tanques aconseja rentarlos circulen mercado sheffieldgto,Frase/Pensamiento
3668,Registra Redes Sociales Progresistas a candidatas transgénero en Zacatecas https://t.co/OcC2n7AGt0 https://t.co/ZVAn7F8pqT,viví nueve meses barriga amor importante vida,Noticia
4627,"Remiendan la rodilla derecha a Unai Bilbao | #Video
https://t.co/LsSzFw4q36 https://t.co/Qa35m1aPOS",cualquiera llama amigo,Noticia
1219,"A veces no son ganas lo que faltan, son motivos.",acerca méxico millón medio contagios acumulados covid19 decesos mil gráficas,Frase/Pensamiento
5603,"Cada noche la extrañaba, con pasión, con melancolía. Fantaseaba con su olor, con el roce de sus dedos, el calor de su piel, el cosquilleo de su cabello. La pasión que ella había olvidado ardía en él. #jueverotic",cada noche extrañaba pasión melancolía fantaseaba olor roce dedos calor piel cosquilleo cabello pasión olvidado ardía jueverotic,Microficción
6598,"@megustaescribir Desafiné en la ducha un martes. No imaginé que el vecino era sicario, que estaba harto de escucharlo y entró a mi casa para ponerle punto y final al asunto. Tampoco que de ver películas de Bruce Lee me había vuelto en un arma mortal. #martesmge",megustaescribir desafiné ducha martes imaginé vecino sicario harto escucharlo entró casa ponerle punto final asunto tampoco ver películas bruce lee vuelto arma mortal martesmge,Microficción
5167,"Harta de los efectos secundarios, decidió dejar de tomar la medicación. Sus voces brindaron entre gritos y alegría.",harta efectos secundarios decidió dejar tomar medicación voces brindaron gritos alegría,Microficción
6469,"Lloraba en la bañera. Frotaba con rabia su cuerpo, se sentía sucia, sabiendo que quien se enterara la culparía por maquillarse.",lloraba bañera frotaba rabia cuerpo sentía sucia sabiendo enterara culparía maquillarse,Microficción
5773,"Miré al cielo un martes presa de la desesperación. La maldita burocracia me robaba de un plumazo cinco años de esfuerzo. “Señor” musité, “ahora sí, dame puntería”. Y sí, logré todas las dianas con esos malditos oficinistas.
#martesmge",miré cielo martes presa desesperación maldita burocracia robaba plumazo cinco años esfuerzo señor musité ahora dame puntería logré todas dianas malditos oficinistas martesmge,Microficción
6330,"Según entro a la cocina me desnudas, me tumbas y pones sobre mí rollitos de sushi. Debe de haberte quedado muy bueno porque te afanas en lamer el plato. #jueverotic",según entro cocina desnudas tumbas pones rollitos sushi debe haberte quedado bueno afanas lamer plato jueverotic,Microficción
5515,"¿A quién le importaban los millones de muertos? Habían ganado la guerra. Obesos generales, políticos y chupatintas brindaron entre gritos y alegría. #mismofinal",quién importaban millones muertos ganado guerra obesos generales políticos chupatintas brindaron gritos alegría mismofinal,Microficción
4123,Vacuna anti-Covid: una esperanza en tiempo récord https://t.co/5s5gWPFkxc https://t.co/LPyZBcqjB9,si alguien destinado permanecer vida tarde temprano regresa,Noticia
5495,Por fin habían acabado con la resistencia y el planeta era totalmente suyo. Los aliens brindaron entre gritos y alegría.,fin acabado resistencia planeta totalmente aliens brindaron gritos alegría,Microficción
3628,España exigirá prueba PCR negativa a viajeros de México https://t.co/8RXEEVKofb https://t.co/HD2zY1fJI3,aprende luna aunque encuentre sola nunca deja brillar,Noticia
2161,"""Tal vez no soy la media naranja de nadie porque soy una fruta prohibida.""",aristeguienvivo conocimiento méxico venido haciendo atentado leyes propias país además violentar participación agentes internacionales materia energía detalla adrián fernández,Frase/Pensamiento
1395,"""Quizá no tenga todas las cosas materiales que quisiera tener, pero tengo el mejor de los tesoros: Mi familia""",ine ordenó presidente funcionarios hagan declaraciones violen neutralidad política,Frase/Pensamiento
1934,La familia no se le presenta A CUALQUIERA.,revolución davis espiritualidad coltrane jazz playlist,Frase/Pensamiento
1096,"""Si el plan no funciona, cambia el plan pero no cambies la meta.""",regresión democrática desaparecer inai advierte consejo consultivo,Frase/Pensamiento
449,Esas ganas de cerrar los ojos y que todo vuelva a ser como era antes.,alcaldía cuauhtémoc supera mil diagnósticos covid19 revisa aquí reporte municipio,Frase/Pensamiento
456,"""Dame un buen motivo y te juro que me arriesgo.""",expertos oms llegan wuhan investigar origen covid dos quedan retenidos singapur,Frase/Pensamiento
2777,"Biden acusa a Trump de bloquear el traspaso de poder en EU
https://t.co/DIEPOxfI9g https://t.co/aSIofVGGev",vida enseña ser fuerte obliga serlo,Noticia
3004,Justicia británica rechaza solicitud de extradición de Assange a EU https://t.co/cMeklASn9q https://t.co/KtI8XH7I7o,vida trata sacrificar ganar perder aprender caer volver levantarse,Noticia
1297,"""Mi abuelo siempre dijo que el mejor regalo era la salud... ¿Y saben qué? Yo más bien creo que el mejor regalo es un abuelo.""",testimonios documentos apuntan participación pf noche iguala anabel hernández,Frase/Pensamiento
7341,Pegó al cuerpo de su padre el cable de la batería. A temprana edad descubrió que le fascinaba torturar y el olor a carne quemada.,pegó cuerpo padre cable batería temprana edad descubrió fascinaba torturar olor carne quemada,Microficción
6625,"Promocionaban el castillo como un lugar maldito. Era la única forma que habían encontrado para que alguien se animara a subir la colina para verlo.
#monoficción",promocionaban castillo lugar maldito única forma encontrado alguien animara subir colina verlo monoficción,Microficción
1243,Las cicatrices invisibles son las más difíciles de curar.,trump pidió pence participe certificación triunfo biden esquivel,Frase/Pensamiento
2001,"""Tu vida irá hacia adelante cuando te apartes de las personas que te llevan hacia atrás.""",tras matanza choapas policía ministerial detiene operativo familias acusan fabricación culpables video,Frase/Pensamiento
4945,"-Oiga, ¿por qué hay huesecillos en mis nuggets? ¿No serán de rata?
-No creo, las envenenamos a todas hace días.
Extrañado volvió a su asiento sintiendo que su garganta se cerraba y su pulso se aceleraba.

#PanicoSiniestro",oiga huesecillos nuggets rata creo envenenamos todas hace días extrañado volvió asiento garganta cerraba pulso aceleraba panicosiniestro,Microficción
7015,"-Aquí comienza el rastro, detective. Es como una V.
-Pobre idiota-susurró. -Le mata la mujer de su vida y su último gesto romántico es escribir su nombre con la sangre. #monoficción",aquí comienza rastro detective v pobre idiotasusurró mata mujer vida último gesto romántico escribir nombre sangre monoficción,Microficción
7029,A dos años que ella se fuera con el profesor de aeróbic sólo podía presumir de que sobrevivía. #Monoficción,dos años profesor aeróbic sólo podía presumir sobrevivía monoficción,Microficción
4150,"Recordamos y rendimos homenaje a artistas cuyo legado sobrevivirá durante largo tiempo.
https://t.co/jOPI9qP6Bq",así vida existe pasado presente futuro sentimientos perdona olvida continua,Noticia
1188,"""Y dicen que por más corto que sea el camino, el que pisa fuerte, deja huella.""",casos niña fátima ingrid siguen avivando gritos justicia méxico,Frase/Pensamiento
1828,"Se pelean, Se ríen, Se odian, Se quiere, Se contentan... ¿Sabes por qué? Porque se mueren el uno por el otro.",primerasplanas republicanos dan espalda trump reino unido punto colapso hospitalario,Frase/Pensamiento
2588,Exsenador Jorge Luis Lavalle comparecerá ante FGR por presuntos sobornos de Lozoya https://t.co/J58UzuEIS2 https://t.co/pvdvuYRRnv,gustaría fichar maradona muerto raymond domenech video,Noticia
4987,El martes en la oficina me sirvió para sacar mi rabia reprimida. También para descubrir que la carne humana sabe mejor que la de cerdo.,martes oficina sirvió sacar rabia reprimida descubrir carne humana sabe mejor cerdo,Microficción
4653,"Atlético Madrid vence 2-0 al Sevilla y extiende su ventaja en La Liga
https://t.co/7b6SZpUdiV https://t.co/35ik7sPHYK",dicen personas escuchan música día duermen intentan escapar realidad,Noticia
2073,"Si no puedes cambiar al mundo, no dejes que el mundo te cambie a ti.",escritores llevó,Frase/Pensamiento
4786,Llega el técnico catalán Josep Guardiola al piso 50 | Tuit https://t.co/stQUDd4hJC https://t.co/I1d6KBMVy1,amor darte cuenta persona ser perfecta ser especial,Noticia
2135,"""No prometas cuando estás feliz, no respondas cuando estás enojado, no decidas cuando estás triste.""",liga mx femenil apoyan jana gutiérrez tras recibir amenazas muerte tuit,Frase/Pensamiento
870,Me comprometo a cambiarte las lágrimas por sonrisas.,reporta lópezgatell descenso contagios cierre,Frase/Pensamiento
5088,"@AsiloOscuro @raskolnik68 @JFranciscoMR1 @dd_hidalgo @jardindebonsais @notasmedianoche @AllegraLunaW @DeghemteriSoto @Olga_Lafuente @Ikormar @rutasparalelas @365Microcuentos @EliseoCardomo @EvilOdradek @macogarciap @bazarmonedas @ElenaSilesB @psicosisred_ @buho_net @rey_g En el teatro, yacía inerte el rey.
- No sé qué me sucedió-- se lamentaba el actor que interpretaba a Segismundo.
¿Cómo iba a relacionarlo con el espectáculo de hipnotismo del hijo del fallecido al que acudió dos semanas antes? #AsiloOscuro",asilooscuro raskolnik68 jfranciscomr1 dd_hidalgo jardindebonsais notasmedianoche allegralunaw deghemterisoto olga_lafuente ikormar rutasparalelas 365microcuentos eliseocardomo evilodradek macogarciap bazarmonedas elenasilesb psicosisred_ buho_net rey_g teatro yacía inerte rey sé sucedió lamentaba actor interpretaba segismundo cómo iba relacionarlo espectáculo hipnotismo hijo fallecido acudió dos semanas asilooscuro,Microficción
2686,"Detienen a alcalde de Zinacantepec, Edomex, por probable homicidio en grado de tentativa
https://t.co/7ihoMb0DtI https://t.co/ZGGoVhMlmR",necesito fácil solo necesito posible,Noticia
3107,"Lo que vemos en la #CDMX es un aumento en la segunda cresta de la ola de mortalidad. En la semana que concluyo el 3 de enero de este año, el exceso de mortalidad fue de 4 mil 200 decesos semanales, cifra 42% mayor a la registrada en mayo y junio de 2020 https://t.co/xwHE8fvBgh https://t.co/FaxNLnkjgp",tarde temprano siempre florece nuevo,Noticia
283,"Respira, es sólo un mal día, no una mala vida.",detiene fgr exmando policía federal caso ayotzinapa,Frase/Pensamiento
1735,"Ni tú vives para mí, ni yo muero por ti.",johnson impondrá pronto medidas estrictas covid,Frase/Pensamiento
7545,- Gooool- gritó emocionado. Luis odiaba perder. Carlos lo supo cuando le ahorcó con el cable del mando de la Play Station.,gooool gritó emocionado luis odiaba perder carlos supo ahorcó cable mando play station,Microficción
1532,"""A veces no hay próxima vez, a veces no hay segundas oportunidades, a veces es ahora o nunca.""",ser asunto internacional manejaré forma acuerdo fiscalía autónoma involucrada asunto corresponde derechos humanos presunción inocencia,Frase/Pensamiento
6140,"@megustaescribir Se rompió la cuerda un martes. El funambulista quedó suspendido en el aire unos segundos, entre los suspiros de agonía de la mujer barbuda y el hombre bala. Tras segundos de silencio, se levantó cubierto de arena, dándose cuenta de que era el hombre elástico. #martesmge",megustaescribir rompió cuerda martes funambulista quedó suspendido aire segundos suspiros agonía mujer barbuda hombre bala tras segundos silencio levantó cubierto arena dándose cuenta hombre elástico martesmge,Microficción
7669,-Jamás olvidaré la primera vez que maté a alguien. Fue un lamentable accidente. Hoy es su motivo para levantarse.,jamás olvidaré primera vez maté alguien lamentable accidente hoy motivo levantarse,Microficción
3256,"EU exigirá pruebas negativas para coronavirus a pasajeros internacionales
https://t.co/gC7IW7zsF4 https://t.co/rFWr2omG4h",querido,Noticia
369,"Ojalá nadie nos decepcione, nunca más. Porque duele y hace mal. Saber que alguien que creímos diferente, en realidad, es igual.",recuperó hacienda mil mdp efectivo grandes contribuyentes,Frase/Pensamiento
4044,Los mayores ganadores durante la crisis son las mineras Peñoles y Grupo México https://t.co/dfKqu5ak4s https://t.co/XURpO5V51K,callar sabios amar humanos llorar valientes perdonar humildes,Noticia
3904,"Caen 3.2% empleos afiliados al IMSS en 2020
https://t.co/CYKJjstTwP https://t.co/nRfcZ32ZKw",ausencia olvido,Noticia
3586,"Biden recibe la segunda dosis de la vacuna contra Covid-19 | #Video
https://t.co/rN7QsLQgVL https://t.co/3ZnQQkBaRW",quisiera vida llegara persona diera miedo perderme luchara tenerme,Noticia
7740,@jceron3187 Sin duda.,jceron3187 duda,Microficción
258,"""Un gran error es arruinar el presente, recordando un pasado que ya no tiene futuro.""",coronavirus vació times square nueva york icónico escenario celebración año nuevo,Frase/Pensamiento
3480,Cada mañanera con Sánchez Cordero debe haber reporte sobre salud de AMLO: Cossío https://t.co/6K8TcaQoDL https://t.co/nQixpsFfKN,gustan abrazos motivo,Noticia
1769,"""Si eliges a una mujer, tienes que renunciar al resto.""",eu supera millones contagios coronavirus,Frase/Pensamiento
6634,El atardecer no tiene sentido si no voy a buscarte.,atardecer si voy buscarte,Microficción
4543,Familias guatemaltecas solicitan información de cuerpos calcinados en Tamaulipas; presumen sean migrantes https://t.co/nsMT5LgFPL https://t.co/26SlmGZ9Rl,después grandes momentos sólo quedan recuerdos inolvidables,Noticia
838,"Te prometí un día que siempre voy a estar ahí en las buenas y en las malas, aunque tú no me hables ni yo a ti, esa promesa quedará...",felizlunes caos incendio metro restaurantes abren mueren proceso trump sigue programa completo aristeguienvivo,Frase/Pensamiento
2923,"Los sistemas que usa el Metro son parte de una tecnología ya pasada que necesita mantenimiento. Los transformadores reciben 85 mil volts que se bajan a 15 mil para distribuirlos a las líneas 1,2 y 3, detalla @jorgegavino, Ex Director Gral. del STC Metro https://t.co/LFmTN9GGsi https://t.co/rr6QfF5ig9",hoy feliz quiero puedo da gana,Noticia
2383,"Robert Plant, legendario vocalista de la banda Led Zeppelin, y gran aficionado al Wolverhampton Wanderers, obsequió al ""Lobo de Tepeji"",  Raúl Jiménez, un disco autografiado con el deseo de que se recupere de su lesión https://t.co/6pv3pnNU5S https://t.co/r47K92QuwV",haremos todavía primeras declaraciones trump tras dejar presidencia,Noticia
3430,"Urge Coparmex CDMX a un 'cambio radical' en estrategia anti-Covid
https://t.co/Nf99scTzT9 https://t.co/G4Bgc9CNmp",pienses deja vida sorprenda,Noticia
3981,#Deportes: Llega Juan Reynoso a un acuerdo para dirigir a Cruz Azul https://t.co/j2WKozxZix https://t.co/40fyVCRU5V,curioso personas reemplazan misma persona decía irreemplazables,Noticia
5297,"@megustaescribir Pensé en el futuro un martes y traté de acomodarlo. Pronto me di cuenta de que tu felicidad forzada no servía para nada, preferías vivir engañada en una realidad gris, volando dentro de una jaula en lugar de saborear las nubes. #martesmge",megustaescribir pensé futuro martes traté acomodarlo pronto di cuenta felicidad forzada servía preferías vivir engañada realidad gris volando dentro jaula lugar saborear nubes martesmge,Microficción
1513,"¡Ah! Y, por si no lo sabías, nunca paro de pensar en ti.",suspenden permanentemente cuenta donald trump twitter,Frase/Pensamiento
6011,"Tuve un maestro que me hacía la vida imposible por raro. Se reía de mis manuales de supervivencia, me llamaba conspiranoico… Adivina quién lleva 5 minutos llamando a la puerta de mi búnker y tiene una horda #zombie pisándole los talones.

#NaNoTribuMx #MicroNaNo #Preptubre",maestro hacía vida imposible raro reía manuales supervivencia llamaba conspiranoico adivina quién lleva minutos llamando puerta búnker horda zombie pisándole talones nanotribumx micronano preptubre,Microficción
795,"""Los planes de Dios son más grandes que tus problemas.""",felizmartes hospitales tope covid desaparición autónomos teletrabajo ine vs mañanera sigue programa aristeguienvivo,Frase/Pensamiento
4427,"#AristeguiEnVivo | Estamos ya en directo con el ministro en retiro @JRCossio para analizar la llegada de Joe Biden, el juicio político de Trump y más https://t.co/FfWSY0Slkt https://t.co/BjQhVOWvLc",sólo pido vida lado,Noticia
2534,"Simpatizantes de Trump vandalizan oficina de Nancy Pelosi
https://t.co/HGsbnRF9Vs https://t.co/9kikathbLy",rally dakar joan barreda lleva cuarta etapa motos,Noticia
4799,"Termina Burnley con larga racha invicta de Liverpool en Anfield | #Video
https://t.co/a45LAB5BJP https://t.co/NvzOOMDs97",historias quieras ponerles punto final terminan siendo puntos suspensivos,Noticia
4650,Supera Andrés Guardado la Covid-19 | Fotonota https://t.co/uaHx6Gh0Ae https://t.co/f4aqxTimFZ,tantos deseos encontré sonriamos dos mismas cosas,Noticia
4556,Mercado libre de vacunas y Pemex: urgente invertir en exploración | #ColumnasFinancieras de este martes https://t.co/5g5DJoE06J https://t.co/n5AbtxFdA2,vuelve inesperado,Noticia
1378,"""Estoy aprendiendo a darle tiempo al tiempo, porque todo llega cuando tiene que llegar, ni un día antes ni un día después.""",nba condenan equipos jugadores asalto capitolio,Frase/Pensamiento
619,"""Recuerda quién estuvo cuando lo necesitabas.""",aristeguienvivo documento dio conocer sre imposible leer cuestión ortografía alias traducciones general parece trama farsa palabras fabriziomejia,Frase/Pensamiento
2668,"#AristeguiEnVivo Acusado de contrataciones irregulares, Bogart Montiel Reyna, renunció a su cargo de director ejecutivo de Administración del #INE. el consejero presidente del INE, Lorenzo Córdova, externó su reconocimiento al renunciante: @galvanochoa 👉 https://t.co/HcPcr6N5E8 https://t.co/isFSwnsEiv",paz mental comienza tomas decisión romper vínculos suman vida,Noticia
7247,El martes saldré a la calle a regalar galletas envenenadas. El periódico tiene razón y alguien tiene que hacer algo: esta ciudad está superpoblada.,martes saldré calle regalar galletas envenenadas periódico razón alguien hacer ciudad superpoblada,Microficción
5917,El sudor que empapa tu espalda es una lasciva invitación a besar cada centímetro de tu piel. #poerotic,sudor empapa espalda lasciva invitación besar cada centímetro piel poerotic,Microficción
530,Soy como me gustaria que fueran conmigo.,heredero samsung condenado dos años medio cárcel caso sobornos,Frase/Pensamiento
6616,"Desde que me apunté al gimnasio 24 horas, cada día voy a hacer ejercicio. Primero cardio, luego levantar peso, estiramientos y flexibilidad, para terminar empapado en sudor en la sauna. Lo que todavía no he hecho ha sido probar una sola máquina. #jueverotic",apunté gimnasio horas cada día voy hacer ejercicio primero cardio luego levantar peso estiramientos flexibilidad terminar empapado sudor sauna todavía hecho sido probar sola máquina jueverotic,Microficción
3481,Kim Jong Un pide llevar capacidad militar de Corea del Norte a nivel mucho más alto https://t.co/JDVzhkAh2N https://t.co/gRngtJgEoS,palabras duelen importa quién dice,Noticia
7079,"Cuando Úrsula le propuso el trato a la sirenita, Ariel le puso un tridente en el cuello. -Me das las piernas y punto-, le advirtió. Después la encerró en las mazmorras de Poseidón.",úrsula propuso trato sirenita ariel puso tridente cuello das piernas punto advirtió después encerró mazmorras poseidón,Microficción
7482,"@megustaescribir -Un martes perdido en una isla del pacífico, el soldado James escribió, con su último aliento, la carta de amor más hermosa de la historia. Su compañero le hizo llegar una carta inteligible con arena en los pliegues pero ella supo descifrar su significado.
#martesmge",megustaescribir martes perdido isla pacífico soldado james escribió último aliento carta amor hermosa historia compañero hizo llegar carta inteligible arena pliegues supo descifrar significado martesmge,Microficción
7000,"150 historias que se entrelazaban en una sola, dotándote de un nombre, de personalidad. Y con el mundo a tus pies preferiste abrazar la mediocridad. #juevesconcuento",historias entrelazaban sola dotándote nombre personalidad mundo pies preferiste abrazar mediocridad juevesconcuento,Microficción
7697,"El dragón no se había percatado de la llegada del mago y de los guerreros. Tan distraído estaba en una llamada a la central de magia desde el oráculo.
-Haya paz-dijo inquieto.
-¿Paz? Destrozaste nuestras aldeas.
-Todos merecemos una segunda oportunidad, ¿no?

#retoseptiembre4",dragón percatado llegada mago guerreros tan distraído llamada central magia oráculo pazdijo inquieto paz destrozaste aldeas merecemos segunda oportunidad retoseptiembre4,Microficción
2747,#Dinero con @galvanochoa |  La gente pobre y la clase media necesitan un salvavidas urgente del gobierno. Ya son muchos meses en los que el empleo lastima a las familias mexicanas. Lo positivo: el aumento al salario mínimo y las pensiones https://t.co/Q2TfuYORhC https://t.co/1Zuj9h21Nb,quédate problemas contigo diga vamos arreglar lugar portarse niños ignorarse,Noticia
3933,"#LoMejordeAristeguienVivo | Inactividad del Metro afecta a 1.5 millones de usuarios por día; tiene sistemas muy viejos: exdirector | #Video
https://t.co/QGX44fmazE https://t.co/pSvXxn8a6o",relación perfecta hablar mejores amigos tontear niños discutir casados protegerse hermanos,Noticia
1932,"""La vida no se trata de esperar a que la tormenta pase, se trata de aprender a bailar bajo ella.""",información suficiente vacunar covid menores años lópezgatell,Frase/Pensamiento
7143,"@anavelasquez93 La policía, que piensa muy mal de todos...",anavelasquez93 policía piensa mal,Microficción
6497,"-¿Que si la amo? Cada día me levanto con su recuerdo y me acuesto añorándola. Todo me recuerda a ella.
-¿Entonces?
-Ella me dejó bien claro que nunca iba a ser. Me tortura su ausencia, verla, conformarme con ser solo su amigo.
-¿Pero la amas?
-Con todo mi corazón, cerebro y alma.",si amo cada día levanto recuerdo acuesto añorándola recuerda entonces dejó bien claro nunca iba ser tortura ausencia verla conformarme ser solo amigo amas corazón cerebro alma,Microficción
3657,Assange se queda en Reino Unido; y el primer vacunado por Oxford-AstraZeneca | Reporte https://t.co/3Fvm7O8mcW https://t.co/BuQ5xCUrR1,extraño forma ser conmigo,Noticia
1433,"No te compares con nadie, ten la cabeza bien alta y recuerda: no eres ni mejor ni peor, simplemente eres tú y eso nadie lo puede superar.",si algún elemento ejército comete error debe responder sandoval,Frase/Pensamiento
35,"""No te des por vencido, lo bueno puede venir más pronto de lo que piensas.""",aumenta demanda signal telegram debate condiciones uso whatsapp,Frase/Pensamiento
4818,"Trump: Su último discurso presidencial | #Video
https://t.co/XALCpGm0a5 https://t.co/N29DkriK55",muchas veces problema corazón quiere admitir mente sabe,Noticia
2504,"Baja Profeco 100 páginas y 700 perfiles de Facebook por fraude en venta de oxígeno
https://t.co/HGio1GltQp https://t.co/r4Tr876t84",anuncia bayern munich donación mil euros reconstruir sinagoga,Noticia
5544,"-Imagine que se eleva hasta las nubes, todos sus problemas se ven diminutos... -decía el audiolibro.
Miró hacia atrás sujetando con firmeza el volante. Su problema iba en el maletero y no le parecía más pequeño.Mejor buscó en youtube ""cómo deshacerse de un cadáver"".
#Monoficcion",imagine eleva nubes problemas ven diminutos decía audiolibro miró hacia atrás sujetando firmeza volante problema iba maletero parecía pequeñomejor buscó youtube cómo deshacerse cadáver monoficcion,Microficción
2246,Captan a López-Gatell de vacaciones en playas de Oaxaca en plena pandemia https://t.co/ootiNjmJ9r https://t.co/144Uegx0TF,vacuna covid desperdicio normal así mantiene mínimo,Noticia
6374,Bajaste el telón lo suficiente para enamorarme de tu escenografía. #CuentosDe10,bajaste telón suficiente enamorarme escenografía cuentosde10,Microficción
3460,La estrategia nacional de vacunación y las campañas electorales transcurrirán de manera paralela en los próximos meses. Evitar cruces indeseables entre ambos procesos exigirá la responsabilidad de todos | Artículo de @chamanesco 👉 https://t.co/joornTAjbO https://t.co/DWA7RWB8az,dijeron confía fallando,Noticia
4125,Debaten @DeniseDresserG y @sabinaberman: ¿deben continuar las mañaneras durante la campaña electoral? https://t.co/FPn86tQFJP https://t.co/h5DV3Ub6jt,esperes momento perfecto toma momento hazlo perfecto,Noticia
1732,"Disculpa aceptada.
Confianza acabada.",fallece años barón benjamin rothschild,Frase/Pensamiento
3219,"El mundo ya sobrepasa los 100 millones de contagios de coronavirus: Johns Hopkins
https://t.co/BEYPz9iuE4 https://t.co/wLsOAIIRjY",siempre,Noticia
6489,COSAS DE NIÑOS. ¿Enano empollón? - repitió Luisito indignado. Y propinándole una patada en los huevos al matón le dijo: - ¡Pues tú eunuco!,cosas niños enano empollón repitió luisito indignado propinándole patada huevos matón dijo pues eunuco,Microficción
